"building_enemy_abaddon"       "亚巴顿"
"building_enemy_abyssal_underlord"       "孽主"
"building_enemy_alchemist"       "炼金"
"building_enemy_ancient_apparition"       "远古冰魄"
"building_enemy_antimage"       "敌法师"
"building_enemy_arc_warden"       "天穹守望者"
"building_enemy_axe"       "斧王"
"building_enemy_bane"       "祸乱之源"
"building_enemy_batrider"       "蝙蝠骑士"
"building_enemy_beastmaster"       "兽王"
"building_enemy_bloodseeker"       "血魔"
"building_enemy_bounty_hunter"       "赏金猎人"
"building_enemy_brewmaster"       "熊猫酒仙"
"building_enemy_bristleback"       "刚被兽"
"building_enemy_broodmother"       "蜘蛛"
"building_enemy_centaur"       "半人马战行者"
"building_enemy_chaos_knight"       "混沌骑士"
"building_enemy_chen"       "陈"
"building_enemy_clinkz"       "克林克兹"
"building_enemy_crystal_maiden"       "水晶室女"
"building_enemy_dark_seer"       "黑暗贤者"
"building_enemy_dark_willow"       "邪影芳灵"
"building_enemy_dawnbreaker"       "破晓辰星"
"building_enemy_dazzle"       "戴泽"
"building_enemy_death_prophet"       "死亡先知"
"building_enemy_disruptor"       "干扰者"
"building_enemy_doom_bringer"       "末日"
"building_enemy_dragon_knight"       "龙骑士"
"building_enemy_drow_ranger"       "卓尔游侠"
"building_enemy_earth_spirit"       "大地之灵"
"building_enemy_earthshaker"       "撼地者"
"building_enemy_elder_titan"       "上古巨神"
"building_enemy_ember_spirit"       "灰烬之灵"
"building_enemy_enchantress"       "魅惑魔女"
"building_enemy_enigma"       "谜团"
"building_enemy_faceless_void"       "JB脸"
"building_enemy_furion"       "先知"
"building_enemy_grimstroke"       "天涯墨客"
"building_enemy_gyrocopter"       "矮人直升机"
"building_enemy_hoodwink"       "小松鼠"
"building_enemy_huskar"       "神灵武士"
"building_enemy_invoker"       "祈求着"
"building_enemy_jakiro"       "双头龙"
"building_enemy_juggernaut"       "主宰"
"building_enemy_keeper_of_the_light"       "光法"
"building_enemy_kunkka"       "船长"
"building_enemy_legion_commander"       "军团"
"building_enemy_leshrac"       "拉希克"
"building_enemy_lich"       "巫妖"
"building_enemy_life_stealer"       "小狗"
"building_enemy_lina"       "莉娜"
"building_enemy_lion"       "莱恩"
"building_enemy_lone_druid"       "德鲁伊"
"building_enemy_luna"       "露娜"
"building_enemy_lycan"       "狼人"
"building_enemy_magnataur"       "马格纳斯"
"building_enemy_marci"       "玛西"
"building_enemy_mars"       "马尔斯"
"building_enemy_medusa"       "美杜莎"
"building_enemy_meepo"       "米波"
"building_enemy_mirana"       "米拉娜"
"building_enemy_monkey_king"       "大圣"
"building_enemy_morphling"       "水人"
"building_enemy_naga_siren"       "娜迦海妖"
"building_enemy_necrolyte"       "瘟疫法师"
"building_enemy_nevermore"       "影魔"
"building_enemy_night_stalker"       "暗夜魔王"
"building_enemy_nyx_assassin"       "小强"
"building_enemy_obsidian_destroyer"       "黑鸟"
"building_enemy_ogre_magi"       "食人魔魔法师"
"building_enemy_omniknight"       "全能骑士"
"building_enemy_oracle"       "神谕者"
"building_enemy_pangolier"       "石鳞剑士"
"building_enemy_phantom_assassin"       "幻影刺客"
"building_enemy_phantom_lancer"       "幻影长矛手"
"building_enemy_phoenix"       "凤凰"
"building_enemy_primal_beast"       "獸"
"building_enemy_puck"       "帕克"
"building_enemy_pudge"       "屠夫"
"building_enemy_pugna"       "帕格纳"
"building_enemy_queenofpain"       "痛苦女王"
"building_enemy_rattletrap"       "发条地精"
"building_enemy_razor"       "电棍"
"building_enemy_riki"       "力丸"
"building_enemy_rubick"       "拉比克"
"building_enemy_sand_king"       "沙王"
"building_enemy_shadow_demon"       "暗影恶魔"
"building_enemy_shadow_shaman"       "小Y"
"building_enemy_shredder"       "伐木机"
"building_enemy_silencer"       "沉默术士"
"building_enemy_skeleton_king"       "骷髅王"
"building_enemy_skywrath_mage"       "天怒法师"
"building_enemy_slardar"       "斯拉达"
"building_enemy_slark"       "斯拉克"
"building_enemy_snapfire"       "电炎绝手"
"building_enemy_sniper"       "狙击手"
"building_enemy_spectre"       "幽鬼"
"building_enemy_spirit_breaker"       "裂魂人"
"building_enemy_storm_spirit"       "风暴之灵"
"building_enemy_sven"       "斯文"
"building_enemy_techies"       "地精工程师"
"building_enemy_templar_assassin"       "圣堂刺客"
"building_enemy_terrorblade"       "灵魂守卫"
"building_enemy_tidehunter"       "潮汐猎人"
"building_enemy_tinker"       "修补匠"
"building_enemy_tiny"       "小小"
"building_enemy_treant"       "大树"
"building_enemy_troll_warlord"       "巨魔战将"
"building_enemy_tusk"       "海民"
"building_enemy_undying"       "不朽尸王"
"building_enemy_ursa"       "熊战士"
"building_enemy_vengefulspirit"       "复仇之魂"
"building_enemy_venomancer"       "剧毒术士"
"building_enemy_viper"       "冥界亚龙"
"building_enemy_visage"       "维萨吉"
"building_enemy_void_spirit"       "虚无之灵"
"building_enemy_warlock"       "术士"
"building_enemy_weaver"       "编织者"
"building_enemy_windrunner"       "风行者"
"building_enemy_winter_wyvern"       "冰霜巨龙"
"building_enemy_wisp"       "艾欧"
"building_enemy_witch_doctor"       "巫医"
"building_enemy_zuus"       "宙斯"
"building_enemy_1"       "狗头人士兵"
"building_enemy_2"       "豺狼人刺客"
"building_enemy_3"       "半人马猎手"
"building_enemy_4"       "鬼魂"
"building_enemy_5"       "巨狼"
"building_enemy_6"       "食人魔冰霜法师"
"building_enemy_7"       "霜寒萨满"
"building_enemy_8"       "萨满潜行者"
"building_enemy_9"       "死灵射手"
"building_enemy_10"       "泥土傀儡"
"building_enemy_11"       "花岗石傀儡"
"building_enemy_12"       "鹰身女妖风暴巫师"
"building_enemy_13"       "黑暗巨魔召唤法师"
"building_enemy_14"       "头狼"
"building_enemy_15"       "萨特放逐者"
"building_enemy_16"       "地狱熊怪"
"building_enemy_17"       "死灵战士"
"building_enemy_18"       "森林巨魔法师"
"building_enemy_19"       "黑龙"
"building_enemy_20"       "萨特窃神者"
"building_enemy_21"       "狗头人长官"
"building_enemy_22"       "地狱熊怪恐惧者"
"building_enemy_23"       "狗头人狂暴者"
"building_enemy_24"       "侍僧潜行者"
"building_enemy_boss_1"       "食人魔棒槌手"
"building_enemy_boss_2"       "枭兽撕裂者"
"building_enemy_boss_3"       "萨特苦难使者"
"building_enemy_boss_4"       "地狱熊怪粉碎者"
"building_enemy_boss_5"       "半人马征服者"
"building_enemy_boss_6"       "石像鬼"
"building_enemy_boss_7"       "地狱魔岩"
"building_enemy_boss_8"       "深渊领主"
"building_enemy_maintask_1_2"       "主线1-2"
"building_enemy_maintask_1_3"       "主线1-3"
"building_enemy_maintask_1_4_1"       "六臂巨人"
"building_enemy_maintask_1_4_2"       "六臂巨人"
"building_enemy_maintask_1_4_3"       "六臂巨人"
"building_enemy_maintask_1_5_1"       "主线1-5-1"
"building_enemy_maintask_1_5_2"       "主线1-5-2"
"building_enemy_maintask_1_6"       "主线1-6"
"building_enemy_maintask_1_7"       "主线1-7"
"building_enemy_maintask_1_8"       "主线1-8"
"building_enemy_maintask_1_9"       "主线1-9"
"building_enemy_maintask_2_1"       "主线2-1"
"building_enemy_maintask_2_2"       "主线2-2"
"building_enemy_maintask_2_3"       "主线2-3"
"building_enemy_maintask_2_4"       "主线2-4"
"building_enemy_maintask_2_5"       "主线2-5"
"building_enemy_maintask_2_6"       "主线2-6"
"building_enemy_maintask_2_7"       "主线2-7"
"building_enemy_maintask_2_8"       "主线2-8"
"building_enemy_maintask_2_9"       "主线2-9"
"building_enemy_maintask_3_1"       "主线3-1"
"building_enemy_maintask_3_2"       "主线3-2"
"building_enemy_maintask_4_1"       "主线4-1"
"building_enemy_maintask_4_2"       "主线4-2"
"building_enemy_maintask_4_3"       "主线4-3"
"building_enemy_maintask_4_4"       "主线4-4"
"building_enemy_maintask_4_5"       "主线4-5"
"building_enemy_maintask_4_6"       "主线4-6"
"building_enemy_maintask_4_7"       "主线4-7"
"building_enemy_maintask_4_8"       "主线4-8"
"building_enemy_maintask_4_9"       "主线4-9"
"building_enemy_maintask_5_1_1"       "主线5-1-1"
"building_enemy_maintask_5_1_2"       "主线5-1-2"
"building_enemy_maintask_5_2_1"       "主线5-2-1"
"building_enemy_maintask_5_2_2"       "主线5-2-2"
"building_enemy_maintask_5_3_1"       "主线5-3-1"
