"npc_dota_lycan_wolf_custom"       "精灵狼"
"npc_dota_lycan_large_wolf_custom"       "大精灵狼"
"npc_dota_t34_summon_custom"       "岩石傀儡"
"npc_dota_venomancer_ward_custom"       "剧毒蛇棒"
"npc_custom_necronomicon_archer"       "死灵书射手"
"npc_custom_necronomicon_warrior"       "死灵书战士"
"npc_void_spirit_summon"       "土猫石头"
"npc_dota_hero_ember_spirit_remnant"       "火猫幻象"
"npc_furion_treant_custom"       "树人"
"npc_t41_custom"       "巨魔勇士"
"npc_imba_dota_beastmaster_boar_1"       "111"
"npc_imba_dota_beastmaster_boar_2"       "111"
"npc_imba_dota_beastmaster_boar_3"       "111"
"npc_imba_dota_beastmaster_boar_4"       "111"
"npc_imba_dota_beastmaster_boar_5"       "111"
"npc_imba_dota_beastmaster_hawk_1"       "111"
"npc_imba_dota_beastmaster_hawk_2"       "111"
"npc_imba_dota_beastmaster_hawk_3"       "111"
"npc_imba_dota_beastmaster_hawk_4"       "111"
"npc_imba_dota_beastmaster_hawk_5"       "111"
"npc_imba_ember_spirit_remnant"       "111"
"npc_imba_malfurion_living_tower_radiant"       "111"
"npc_imba_malfurion_living_tower_dire"       "111"
"npc_imba_contributor_hjort"       "111"
"npc_imba_contributor_martyn"       "111"
"npc_imba_contributor_mikkel"       "111"
"npc_imba_contributor_anees"       "111"
"npc_imba_contributor_swizard"       "111"
"npc_imba_contributor_phroureo"       "111"
"npc_imba_contributor_catchy"       "111"
"npc_imba_contributor_matt"       "111"
"npc_imba_contributor_maxime"       "111"
"npc_imba_contributor_poly"       "111"
"npc_imba_contributor_firstlady"       "111"
"npc_imba_contributor_wally_chan"       "111"
"npc_imba_contributor_shush"       "111"
"npc_imba_contributor_firetoad"       "111"
"npc_imba_contributor_xthedark"       "111"
"npc_imba_contributor_zimber"       "111"
"npc_imba_contributor_hewdraw"       "111"
"npc_imba_contributor_iaminnocent"       "111"
"npc_imba_contributor_noobsauce"       "111"
"npc_imba_contributor_seinken"       "111"
"npc_imba_contributor_atrocty"       "111"
"npc_imba_contributor_broccoli"       "111"
"npc_imba_contributor_suthernfriend"       "111"
"npc_imba_contributor_dewouter"       "111"
"npc_imba_contributor_fudge"       "111"
"npc_imba_contributor_lindbrum"       "111"
"npc_imba_contributor_sercankd"       "111"
"npc_imba_contributor_yahnich"       "111"
"npc_imba_developer_cookies"       "111"
"npc_imba_enigma_eidolon_1"       "111"
"npc_imba_enigma_eidolon_2"       "111"
"npc_imba_enigma_eidolon_3"       "111"
"npc_imba_enigma_eidolon_4"       "111"
"npc_imba_juggernaut_healing_ward"       "111"
"npc_imba_juggernaut_healing_totem"       "111"
"npc_imba_pugna_nether_ward_1"       "111"
"npc_imba_pugna_nether_ward_2"       "111"
"npc_imba_pugna_nether_ward_3"       "111"
"npc_imba_pugna_nether_ward_4"       "111"
"npc_imba_pugna_nether_ward_5"       "111"
"npc_imba_pugna_nether_ward_6"       "111"
"npc_imba_pugna_nether_ward_7"       "111"
"npc_imba_techies_land_mines"       "111"
"npc_imba_techies_land_mines_big_boom"       "111"
"npc_imba_techies_stasis_trap"       "111"
"npc_imba_techies_minefield_sign"       "111"
"npc_imba_techies_remote_mines"       "111"
