"DOTA_Tooltip_modifier_sect_seckill_base_a"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_a_description"       "触发概率反击螺旋%prop_pect%%，对周围%radius%码范围的敌方单位造成%damage_hp_pect%%最大生命值的物理伤害。"
"DOTA_Tooltip_modifier_sect_seckill_base_b"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_b_description"       "触发概率反击螺旋%prop_pect%%，对周围%radius%码范围的敌方单位造成%damage_hp_pect%%最大生命值的物理伤害。"
"DOTA_Tooltip_modifier_sect_seckill_base_c"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_c_description"       "触发概率反击螺旋%prop_pect%%，对周围%radius%码范围的敌方单位造成%damage_hp_pect%%最大生命值的物理伤害。"
"DOTA_Tooltip_modifier_sect_thorns_base_a"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_a_description"       "英雄受到伤害后，会反弹%%%伤害。"
"DOTA_Tooltip_modifier_sect_thorns_base_b"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_b_description"       "英雄受到伤害后，会反弹%%%伤害。"
"DOTA_Tooltip_modifier_sect_thorns_base_c"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_c_description"       "英雄受到伤害后，会反弹%%%伤害。"
"DOTA_Tooltip_modifier_sect_treatment_base_a"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_a_description"       "英雄的生命回复%health_regen%。立即恢复一个友方单位%heal_amount%点气血，并对周围敌方单位造成%damage_amount%点魔法伤害。"
"DOTA_Tooltip_modifier_sect_treatment_base_b"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_b_description"       "英雄的生命回复%health_regen%。立即恢复一个友方单位%heal_amount%点气血，并对周围敌方单位造成%damage_amount%点魔法伤害。"
"DOTA_Tooltip_modifier_sect_treatment_base_c"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_c_description"       "英雄的生命回复%health_regen%。立即恢复一个友方单位%heal_amount%点气血，并对周围敌方单位造成%damage_amount%点魔法伤害。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_a"       "射手"
"DOTA_Tooltip_modifier_sect_magarm_down_base_a_description"       "英雄攻击距离%atk_range%，%knock_out_pect%%概率击退敌人。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_b"       "射手"
"DOTA_Tooltip_modifier_sect_magarm_down_base_b_description"       "英雄攻击距离%atk_range%，%knock_out_pect%%概率击退敌人。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_c"       "射手"
"DOTA_Tooltip_modifier_sect_magarm_down_base_c_description"       "英雄攻击距离%atk_range%，%knock_out_pect%%概率击退敌人。"
"DOTA_Tooltip_modifier_sect_cleave_base_a"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_a_description"       "英雄普通攻击造成伤害可以溅射，近战溅射造成%cleave_damage_pct%%的伤害，远程溅射造成%cleave_damage_ranged%%的伤害。"
"DOTA_Tooltip_modifier_sect_cleave_base_b"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_b_description"       "英雄普通攻击造成伤害可以溅射，近战溅射造成%cleave_damage_pct%%的伤害，远程溅射造成%cleave_damage_ranged%%的伤害。"
"DOTA_Tooltip_modifier_sect_cleave_base_c"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_c_description"       "英雄普通攻击造成伤害可以溅射，近战溅射造成%cleave_damage_pct%%的伤害，远程溅射造成%cleave_damage_ranged%%的伤害。"
"DOTA_Tooltip_modifier_sect_poision_base_a"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_a_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。"
"DOTA_Tooltip_modifier_sect_poision_base_b"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_b_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。"
"DOTA_Tooltip_modifier_sect_poision_base_c"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_c_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。"
"DOTA_Tooltip_modifier_sect_phycrit_base_a"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_a_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。"
"DOTA_Tooltip_modifier_sect_phycrit_base_b"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_b_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。"
"DOTA_Tooltip_modifier_sect_phycrit_base_c"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_c_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。"
"DOTA_Tooltip_modifier_sect_shield_base_a"       "护盾"
"DOTA_Tooltip_modifier_sect_shield_base_a_description"       "施加的护盾吸收%block_value%点伤害后破碎，对周围敌方单位造成护盾吸收伤害值的物理伤害。额外给队友施加护盾的概率为%prop_pect%%。"
"DOTA_Tooltip_modifier_sect_shield_base_b"       "护盾"
"DOTA_Tooltip_modifier_sect_shield_base_b_description"       "施加的护盾吸收%block_value%点伤害后破碎，对周围敌方单位造成护盾吸收伤害值的物理伤害。额外给队友施加护盾的概率为%prop_pect%%。"
"DOTA_Tooltip_modifier_sect_shield_base_c"       "护盾"
