"lang_sect_archer"       "射手流"
"lang_sect_archer_Des"       "提升英雄的攻击力和攻击距离。"
"lang_sect_assault"       "冲锋流"
"lang_sect_assault_Des"       "开战冲击到敌方阵型中造成眩晕。"
"lang_sect_atkspeed"       "攻速流"
"lang_sect_atkspeed_Des"       "提升英雄攻击速度。"
"lang_sect_black_art"       "妖术流"
"lang_sect_black_art_Des"       "战斗前将敌方随机变换。"
"lang_sect_blink"       "切入流"
"lang_sect_blink_Des"       "开局英雄可以跳跃到敌方阵营后方。"
"lang_sect_cabala"       "秘法流"
"lang_sect_cabala_Des"       "提升英雄魔法恢复速度和魔法上限。"
"lang_sect_cannibalism"       "食人流"
"lang_sect_cannibalism_Des"       "吞噬队友，继承队友属性。"
"lang_sect_cd_down"       "冷却流"
"lang_sect_cd_down_Des"       "降低英雄的技能冷却时间。"
"lang_sect_cleave"       "分裂流"
"lang_sect_cleave_Des"       "英雄普通攻击造成伤害可以分裂到其他敌方单位。"
"lang_sect_control"       "控场流"
"lang_sect_control_Des"       "战斗过程中，棋盘上每隔5秒概率触发地刺，造成眩晕。"
"lang_sect_copy"       "复制流"
"lang_sect_copy_Des"       "制造镜像，复制本体参与战斗。"
"lang_sect_demon"       "恶魔流"
"lang_sect_demon_Des"       "造成伤害为真实伤害。"
"lang_sect_disarm"       "缴械流"
"lang_sect_disarm_Des"       "使英雄缴械，无法普通攻击。"
"lang_sect_double_head"       "双头流"
"lang_sect_double_head_Des"       "释放技能概率不消耗魔法额外释放。"
"lang_sect_fish_chess"       "钓鱼流"
"lang_sect_fish_chess_Des"       "回合开始时从棋库概率抽取棋子。"
"lang_sect_flame"       "火焰流"
"lang_sect_flame_Des"       "攻击和技能附带火焰灼烧效果，持续造成魔法伤害。"
"lang_sect_ghost"       "亡灵流"
"lang_sect_health"       "生命流"
"lang_sect_health_Des"       "降低敌方气血上限，棋子死后以灵魂形态参与战斗。"
"lang_sect_ice"       "冰冻流"
"lang_sect_ice_Des"       "降低英雄攻击速度和移动速度。"
"lang_sect_invent"       "发明流"
"lang_sect_invent_Des"       "回合结束后随机发现宝物。"
"lang_sect_light"       "光明流"
"lang_sect_light_Des"       "提升白天的伤害，干扰恶魔输入。"
"lang_sect_magarm_up"       "加抗流"
"lang_sect_magarm_up_Des"       "提升英雄的魔法防御。"
"lang_sect_magic"       "魔法流"
"lang_sect_magic_Des"       "降低敌方魔法防御，提升魔法爆发。"
"lang_sect_miss"       "闪避流"
"lang_sect_miss_Des"       "提升英雄闪避和技能闪避。"
"lang_sect_phyarm_down"       "减甲流"
"lang_sect_phyarm_down_Des"       "降低英雄的物理护甲。"
"lang_sect_phyarm_up"       "加甲流"
"lang_sect_phyarm_up_Des"       "提升英雄的物理护甲。"
"lang_sect_phycrit"       "暴击流"
"lang_sect_phycrit_Des"       "提升英雄物理暴击概率。"
"lang_sect_poision"       "中毒流"
"lang_sect_poision_Des"       "提升持续的毒伤害。"
"lang_sect_scilence"       "沉默流"
"lang_sect_scilence_Des"       "沉默敌方，使得无法释放技能。"
"lang_sect_seckill"       "秒杀流"
"lang_sect_seckill_Des"       "普工攻击概率造成敌方百分比气血伤害。"
"lang_sect_shield"       "护盾流"
"lang_sect_shield_Des"       "是英雄增加护盾，格挡伤害。"
"lang_sect_steal"       "窃取流"
"lang_sect_steal_Des"       "提升击杀敌方的掉落宝物和奖励。"
"lang_sect_suck_blood"       "吸血流"
"lang_sect_suck_blood_Des"       "使英雄普通攻击吸血。"
"lang_sect_summon"       "召唤流"
"lang_sect_summon_Des"       "召唤其他单位参与战斗。"
"lang_sect_territory"       "领域流"
"lang_sect_territory_Des"       "战斗结束有棋子存活获得宝物奖励。"
"lang_sect_thorns"       "刺甲流"
"lang_sect_thorns_Des"       "英雄反弹一部分受到的伤害。"
"lang_sect_transform"       "变身流"
"lang_sect_transform_Des"       "开战前满魔法，释放变身技能。"
"lang_sect_treatment"       "治疗流"
"lang_sect_treatment_Des"       "提升英雄的生命回复。"
"lang_sect_vanity"       "虚空流"
"lang_sect_vanity_Des"       "每隔一段时间己方英雄魔法免疫。"
"lang_sect_warpath"       "战意流"
"lang_sect_warpath_Des"       "提升英雄的攻击力。"
"lang_sect_weapon"       "武器流"
"lang_sect_weapon_Des"       "百分比无视敌方护甲。"
