"DOTA_HUD_STATS_STRENGTH_BASE"       "力量基础"
"DOTA_HUD_STATS_STRENGTH_BASE_PERCENTAGE"       "力量基础百分比"
"DOTA_HUD_STATS_STRENGTH_BONUS"       "力量额外"
"DOTA_HUD_STATS_STRENGTH_BONUS_CONSTANT"       "力量最终"
"DOTA_HUD_STATS_STRENGTH_PERCENTAGE"       "力量百分比"
"DOTA_HUD_STATS_AGILITY_BASE"       "敏捷基础"
"DOTA_HUD_STATS_AGILITY_BASE_PERCENTAGE"       "敏捷基础百分比"
"DOTA_HUD_STATS_AGILITY_BONUS"       "敏捷额外"
"DOTA_HUD_STATS_AGILITY_BONUS_CONSTANT"       "敏捷最终"
"DOTA_HUD_STATS_AGILITY_PERCENTAGE"       "敏捷百分比"
"DOTA_HUD_STATS_INTELLECT_BASE"       "智力基础"
"DOTA_HUD_STATS_INTELLECT_BASE_PERCENTAGE"       "智力基础百分比"
"DOTA_HUD_STATS_INTELLECT_BONUS"       "智力额外"
"DOTA_HUD_STATS_INTELLECT_BONUS_CONSTANT"       "智力最终"
"DOTA_HUD_STATS_INTELLECT_PERCENTAGE"       "智力百分比"
"DOTA_HUD_STATS_ALL_BASE"       "全属性基础"
"DOTA_HUD_STATS_ALL_BONUS"       "全属性额外"
"DOTA_HUD_STATS_ALL_PERCENTAGE"       "全属性百分比"
"DOTA_HUD_STATS_PRIMARY_BASE"       "主属性基础"
"DOTA_HUD_STATS_PRIMARY_BONUS"       "主属性额外"
"DOTA_HUD_STATS_PRIMARY_PERCENTAGE"       "主属性百分比"
"DOTA_HUD_HEALTH_BONUS"       "生命值额外"
"DOTA_HUD_HEALTH_PERCENTAGE"       "生命值百分比"
"DOTA_HUD_HEALTH_REGEN_CONSTANT"       "生命恢复"
"DOTA_HUD_MANA_BONUS"       "魔法额外"
"DOTA_HUD_MANA_PERCENTAGE"       "魔法百分比"
"DOTA_HUD_MANACOST_REDUCTION_CONSTANT"       "魔法消耗"
"DOTA_HUD_MANACOST_PERCENTAGE"       "魔法消耗百分比"
"DOTA_HUD_MANACOST_PERCENTAGE_STACKING"       "魔法消耗"
"DOTA_HUD_MANA_REGEN_CONSTANT"       "魔法恢复"
"DOTA_HUD_MANA_REGEN_CONSTANT_UNIQUE"       "魔法恢复最终"
"DOTA_HUD_MANA_REGEN_AMPLIFY_PERCENTAGE"       "魔法恢复百分比"
"DOTA_HUD_ENERGY_BONUS"       "怒气额外"
"DOTA_HUD_ENERGY_BONUS_PERCENTAGE"       "怒气额外百分比"
"DOTA_HUD_ENERGY_REGEN_CONSTANT"       "怒气恢复"
"DOTA_HUD_ENERGY_REGEN_PERCENTAGE"       "怒气恢复百分比"
"DOTA_HUD_BASEATTACK_BONUSDAMAGE"       "基础攻击力"
"DOTA_HUD_BASEDAMAGEOUTGOING_PERCENTAGE"       "基础攻击力百分比"
"DOTA_HUD_PHYSICAL_ARMOR_BASE"       "物理护甲基础"
"DOTA_HUD_PHYSICAL_ARMOR_BASE_PERCENTAGE"       "物理护甲基础百分比"
"DOTA_HUD_PHYSICAL_ARMOR_BONUS"       "物理护甲额外"
"DOTA_HUD_PHYSICAL_ARMOR_BONUS_CONSTANT"       "物理护甲最终"
"DOTA_HUD_PHYSICAL_ARMOR_PERCENTAGE"       "物理护甲百分比"
"DOTA_HUD_MAGICAL_ARMOR_BASE"       "魔法护甲基础"
"DOTA_HUD_MAGICAL_ARMOR_BASE_PERCENTAGE"       "魔法护甲基础百分比"
"DOTA_HUD_MAGICAL_ARMOR_BONUS"       "魔法护甲额外"
"DOTA_HUD_MAGICAL_ARMOR_BONUS_CONSTANT"       "魔法护甲最终"
"DOTA_HUD_MAGICAL_ARMOR_PERCENTAGE"       "魔法护甲百分比"
"DOTA_HUD_IGNORE_PHYSICAL_ARMOR_UNIQUE"       "无视物理护甲"
"DOTA_HUD_IGNORE_PHYSICAL_ARMOR_PERCENTAGE"       "无视物理护甲百分比"
"DOTA_HUD_IGNORE_PHYSICAL_ARMOR_PERCENTAGE_TARGET"       "无视特定单位物理护甲百分比"
"DOTA_HUD_IGNORE_MAGICAL_ARMOR_UNIQUE"       "无视魔法护甲"
"DOTA_HUD_IGNORE_MAGICAL_ARMOR_PERCENTAGE"       "无视魔法护甲百分比"
"DOTA_HUD_IGNORE_MAGICAL_ARMOR_PERCENTAGE_TARGET"       "无视特定单位魔法护甲百分比"
"DOTA_HUD_CRITICALSTRIKE"       "攻击暴击值"
"DOTA_HUD_CRITICALSTRIKE_CHANCE"       "攻击暴击概率"
"DOTA_HUD_CRITICALSTRIKE_DAMAGE"       "攻击暴击伤害"
"DOTA_HUD_SPELL_AMPLIFY_BASE"       "技能基础增强"
"DOTA_HUD_SPELL_AMPLIFY_BONUS"       "技能额外增强"
"DOTA_HUD_SPELL_AMPLIFY_BONUS_UNIQUE"       "技能最终增强"
"DOTA_HUD_SPELL_CRITICALSTRIKE"       "技能暴击值"
"DOTA_HUD_SPELL_CRITICALSTRIKE_CHANCE"       "技能暴击概率"
"DOTA_HUD_SPELL_CRITICALSTRIKE_CHANCE_TARGET"       "技能特定目标暴击概率"
"DOTA_HUD_SPELL_CRITICALSTRIKE_DAMAGE"       "技能暴击伤害"
"DOTA_HUD_MAX_ATTACKSPEED_BONUS"       "最大攻击速度"
"DOTA_HUD_ATTACKSPEED_PERCENTAGE"       "攻速百分比"
"DOTA_HUD_BASE_ATTACK_TIME_CONSTANT"       "攻击间隔"
"DOTA_HUD_BASE_ATTACK_TIME_ADJUST"       "攻击间隔"
"DOTA_HUD_BASE_ATTACK_TIME_PERCENTAGE"       "攻击间隔百分比"
"DOTA_HUD_COOLDOWN_PERCENTAGE"       "冷却减少百分比"
"DOTA_HUD_EVASION_CONSTANT"       "攻击闪避"
"DOTA_HUD_SPELL_EVASION_CONSTANT"       "技能闪避"
"DOTA_HUD_NEGATIVE_EVASION_CONSTANT"       "无视攻击闪避"
"DOTA_HUD_STATUS_RESISTANCE_STACKING"       "状态抗性"
"DOTA_HUD_STATUS_RESISTANCE_UNIQUE"       "状态抗性"
"DOTA_HUD_STATUS_RESISTANCE_CASTER"       "状态抗性"
"DOTA_HUD_OUTGOING_DAMAGE_PERCENTAGE"       "造成全伤害提升"
"DOTA_HUD_OUTGOING_ALL_DAMAGE_PERCENTAGE"       "最终伤害提升"
"DOTA_HUD_OUTGOING_PHYSICAL_DAMAGE_PERCENTAGE"       "物理伤害打出提升"
"DOTA_HUD_OUTGOING_MAGICAL_DAMAGE_PERCENTAGE"       "魔法伤害打出提升"
"DOTA_HUD_OUTGOING_PURE_DAMAGE_PERCENTAGE"       "纯碎伤害打出提升"
"DOTA_HUD_OUTGOING_ATTACK_DAMAGE_PERCENTAGE"       "造成普攻伤害提升"
"DOTA_HUD_OUTGOING_SPELL_DAMAGE_PERCENTAGE"       "造成技能伤害提升"
"DOTA_HUD_INCOMING_DAMAGE_PERCENTAGE"       "受到伤害加成"
"DOTA_HUD_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE"       "受到物理伤害加成"
"DOTA_HUD_INCOMING_MAGICAL_DAMAGE_PERCENTAGE"       "受到魔法伤害加成"
"DOTA_HUD_INCOMING_PURE_DAMAGE_PERCENTAGE"       "受到纯粹伤害加成"
"DOTA_HUD_INCOMING_ATTACK_DAMAGE_PERCENTAGE"       "受到普攻伤害加成"
"DOTA_HUD_INCOMING_SPELL_DAMAGE_PERCENTAGE"       "受到技能伤害加成"
"DOTA_HUD_INCOMING_POISON_DAMAGE_PERCENTAGE"       "毒伤害加深"
"DOTA_HUD_OUTGOING_POISON_DAMAGE_PERCENTAGE"       "造成的毒伤害降低"
"DOTA_HUD_OUTGOING_POISON_COUNT_PERCENTAGE"       "施加的毒层数增加比例"
"DOTA_HUD_INCOMING_POISON_COUNT_PERCENTAGE"       "被施加的毒层数增加比例"
"DOTA_HUD_POISON_ACTIVE_TIME_PERCENTAGE"       "毒激发速度比例"
"DOTA_HUD_POISON_ACTIVE_INCREASE_PERCENTAGE"       "毒激发保留的层数比例，和原本减少的比例加法叠加"
"DOTA_HUD_SUMMON_DURATION_BONUS"       "召唤物的存在时间增加"
