"courier_1"       "Cluckles the Brave"
"courier_2"       "Cyril the Syrmeleon"
"courier_3"       "Golden Beetlejaws the Boxhound "
"courier_4"       "Dolfrat and Roshinante"
"courier_5"       "Golden Axolotl"
"courier_6"       "Golden Wyvern Hatchling"
"courier_7"       "Golden Beetlebark and Plod"
"courier_8"       "Golden Devourling"
"courier_9"       "Golden Doomling"
"courier_10"       "Golden Flopjaw the Boxhound"
"courier_11"       "Golden Seekling"
"courier_12"       "Golden Venoling"
"courier_13"       "Amaterasu"
"courier_14"       "Crimson Axolotl"
"courier_15"       "Fire Wyvern Hatchling"
"courier_16"       "Frost Wyvern Hatchling"
"courier_17"       "Masked Fey"
"courier_18"       "Unusual Frull"
"courier_19"       "Hermes the Hermit Crab"
"courier_20"       "Sappler the Eager"
"courier_21"       "BattleTurtle Airship"
"courier_22"       "Atrophic Skitterwing"
"courier_23"       "Blue Dragonling"
"courier_24"       "Baekho"
"courier_25"       "Bajie the Silken Swineling"
"courier_26"       "Beaver Knight"
"courier_27"       "Elder Gentleman "
"courier_28"       "Boris Baumhauer"
"courier_29"       "Coco the Courageous"
"courier_30"       "Golden Death Prophet"
"courier_31"       "Golden Huntling "
"courier_32"       "Fashion Huntling"
"courier_33"       "Royal Griffinling"
"courier_34"       "Golen Horn"
"courier_35"       "Jade Horn"
"courier_36"       "Red Horn"
"courier_37"       "Golden Cub"
"courier_38"       "Swift Cub"
"courier_39"       "Cub"
"courier_40"       "Golden Greedling"
"courier_41"       "Expert Dolfrat and Roshinante"
"courier_42"       "Dolfrat and Roshinante"
"courier_43"       "Golden Dolfrat and Roshinante"
