"building_enemy_1"       "狗头人士兵"
"building_enemy_2"       "豺狼人刺客"
"building_enemy_3"       "半人马猎手"
"building_enemy_4"       "鬼魂"
"building_enemy_5"       "巨狼"
"building_enemy_6"       "食人魔冰霜法师"
"building_enemy_7"       "霜寒萨满"
"building_enemy_8"       "萨满潜行者"
"building_enemy_9"       "死灵射手"
"building_enemy_10"       "泥土傀儡"
"building_enemy_11"       "花岗石傀儡"
"building_enemy_12"       "鹰身女妖风暴巫师"
"building_enemy_13"       "黑暗巨魔召唤法师"
"building_enemy_14"       "头狼"
"building_enemy_15"       "萨特放逐者"
"building_enemy_16"       "地狱熊怪"
"building_enemy_17"       "死灵战士"
"building_enemy_18"       "森林巨魔法师"
"building_enemy_19"       "黑龙"
"building_enemy_20"       "萨特窃神者"
"building_enemy_21"       "狗头人长官"
"building_enemy_22"       "地狱熊怪恐惧者"
"building_enemy_23"       "狗头人狂暴者"
"building_enemy_24"       "侍僧潜行者"
"building_enemy_boss_1"       "食人魔棒槌手"
"building_enemy_boss_2"       "枭兽撕裂者"
"building_enemy_boss_3"       "萨特苦难使者"
"building_enemy_boss_4"       "地狱熊怪粉碎者"
"building_enemy_boss_5"       "半人马征服者"
"building_enemy_boss_6"       "石像鬼"
"building_enemy_boss_7"       "地狱魔岩"
"building_enemy_boss_8"       "深渊领主"
"building_enemy_maintask_1_2"       "主线1-2"
"building_enemy_maintask_1_3"       "主线1-3"
"building_enemy_maintask_1_4_1"       "六臂巨人"
"building_enemy_maintask_1_4_2"       "六臂巨人"
"building_enemy_maintask_1_4_3"       "六臂巨人"
"building_enemy_maintask_1_5_1"       "主线1-5-1"
"building_enemy_maintask_1_5_2"       "主线1-5-2"
"building_enemy_maintask_1_6"       "主线1-6"
"building_enemy_maintask_1_7"       "主线1-7"
"building_enemy_maintask_1_8"       "主线1-8"
"building_enemy_maintask_1_9"       "主线1-9"
"building_enemy_maintask_2_1"       "主线2-1"
"building_enemy_maintask_2_2"       "主线2-2"
"building_enemy_maintask_2_3"       "主线2-3"
"building_enemy_maintask_2_4"       "主线2-4"
"building_enemy_maintask_2_5"       "主线2-5"
"building_enemy_maintask_2_6"       "主线2-6"
"building_enemy_maintask_2_7"       "主线2-7"
"building_enemy_maintask_2_8"       "主线2-8"
"building_enemy_maintask_2_9"       "主线2-9"
"building_enemy_maintask_3_1"       "主线3-1"
"building_enemy_maintask_3_2"       "主线3-2"
"building_enemy_maintask_4_1"       "主线4-1"
"building_enemy_maintask_4_2"       "主线4-2"
"building_enemy_maintask_4_3"       "主线4-3"
"building_enemy_maintask_4_4"       "主线4-4"
"building_enemy_maintask_4_5"       "主线4-5"
"building_enemy_maintask_4_6"       "主线4-6"
"building_enemy_maintask_4_7"       "主线4-7"
"building_enemy_maintask_4_8"       "主线4-8"
"building_enemy_maintask_4_9"       "主线4-9"
"building_enemy_maintask_5_1_1"       "主线5-1-1"
"building_enemy_maintask_5_1_2"       "主线5-1-2"
"building_enemy_maintask_5_2_1"       "主线5-2-1"
"building_enemy_maintask_5_2_2"       "主线5-2-2"
"building_enemy_maintask_5_3_1"       "主线5-3-1"
"building_enemy_maintask_5_3_2"       "主线5-3-2"
"building_enemy_maintask_5_4_1"       "主线5-4-1"
"building_enemy_maintask_5_4_2"       "主线5-4-2"
"building_enemy_maintask_5_5_1"       "主线5-5-1"
"building_enemy_maintask_5_5_2"       "主线5-5-2"
"building_enemy_maintask_5_6_1"       "主线5-6-1"
"building_enemy_maintask_5_6_2"       "主线5-6-2"
"building_enemy_maintask_5_7_1"       "主线5-7-1"
"building_enemy_maintask_5_7_2"       "主线5-7-2"
"building_enemy_maintask_5_8_1"       "主线5-8-1"
"building_enemy_maintask_5_8_2"       "主线5-8-2"
"building_enemy_maintask_5_9_1"       "主线5-9-1"
"building_enemy_maintask_5_9_2"       "主线5-9-2"
"building_enemy_hercules_1"       "涅墨亚雄狮"
"building_enemy_hercules_2"       "九头蛇许德拉"
"building_enemy_hercules_3"       "阎罗令3"
"building_enemy_hercules_4"       "阎罗令4"
"building_enemy_hercules_5"       "阎罗令5"
"building_enemy_hercules_6"       "怪鸟"
"building_enemy_hercules_7"       "阎罗令7"
"building_enemy_hercules_8"       "阎罗令8"
"building_enemy_hercules_9"       "阎罗令9"
"building_enemy_hercules_10"       "阎罗令10"
"building_enemy_hercules_11"       "阎罗令11"
"building_enemy_hercules_12"       "阎罗令12"
"building_enemy_tartarus_1"       "噬魂鬼卒"
"building_enemy_tartarus_2"       "无名生魂"
"building_enemy_tartarus_3"       "冰晶恶兽"
"building_enemy_tartarus_4"       "原初罪魂"
"building_enemy_tartarus_5"       "噬心蝮蛇"
"building_enemy_tartarus_6_1"       "邪教祭司"
"building_enemy_tartarus_6_2"       "堕落神使"
"building_enemy_tartarus_6_3"       "渎神罪囚"
"building_enemy_tartarus_7_1"       "<命运囚徒>俄狄浦斯"
"building_enemy_tartarus_7_2"       "<命运囚徒>卡珊德拉"
"building_enemy_tartarus_7_3"       "<命运囚徒>西西弗斯"
"building_enemy_tartarus_8_1"       "巨神灵"
"building_enemy_tartarus_8_2"       "泰坦族裔"
"building_enemy_tartarus_9"       "<旧日神王>克罗诺斯"
"building_enemy_wordless_book_1"       "心魔1"
