"building_hero_abaddon"       "亚巴顿"
"building_hero_abyssal_underlord"       "孽主"
"building_hero_alchemist"       "炼金"
"building_hero_ancient_apparition"       "远古冰魄"
"building_hero_antimage"       "敌法师"
"building_hero_arc_warden"       "天穹守望者"
"building_hero_axe"       "斧王"
"building_hero_bane"       "祸乱之源"
"building_hero_batrider"       "蝙蝠骑士"
"building_hero_beastmaster"       "兽王"
"building_hero_bloodseeker"       "血魔"
"building_hero_bounty_hunter"       "赏金猎人"
"building_hero_brewmaster"       "熊猫酒仙"
"building_hero_bristleback"       "刚被兽"
"building_hero_broodmother"       "蜘蛛"
"building_hero_centaur"       "半人马战行者"
"building_hero_chaos_knight"       "混沌骑士"
"building_hero_chen"       "陈"
"building_hero_clinkz"       "克林克兹"
"building_hero_crystal_maiden"       "水晶室女"
"building_hero_dark_seer"       "黑暗贤者"
"building_hero_dark_willow"       "邪影芳灵"
"building_hero_dawnbreaker"       "破晓辰星"
"building_hero_dazzle"       "戴泽"
"building_hero_death_prophet"       "死亡先知"
"building_hero_disruptor"       "干扰者"
"building_hero_doom_bringer"       "末日"
"building_hero_dragon_knight"       "龙骑士"
"building_hero_drow_ranger"       "卓尔游侠"
"building_hero_earth_spirit"       "大地之灵"
"building_hero_earthshaker"       "撼地者"
"building_hero_elder_titan"       "上古巨神"
"building_hero_ember_spirit"       "灰烬之灵"
"building_hero_enchantress"       "魅惑魔女"
"building_hero_enigma"       "谜团"
"building_hero_faceless_void"       "JB脸"
"building_hero_furion"       "先知"
"building_hero_grimstroke"       "天涯墨客"
"building_hero_gyrocopter"       "矮人直升机"
"building_hero_hoodwink"       "小松鼠"
"building_hero_huskar"       "神灵武士"
"building_hero_invoker"       "祈求着"
"building_hero_jakiro"       "双头龙"
"building_hero_juggernaut"       "主宰"
"building_hero_keeper_of_the_light"       "光法"
"building_hero_kunkka"       "船长"
"building_hero_legion_commander"       "军团"
"building_hero_leshrac"       "拉希克"
"building_hero_lich"       "巫妖"
"building_hero_life_stealer"       "小狗"
