"lang_population"       "人口"
"lang_gold"       "金币"
"lang_wood"       "木材"
"lang_turn"       "回合"
"lang_soulcrystal"       "魂晶"
"lang_TopBarRound"       "第{s:round}回合"
"lang_TopBarDifficulty"       "游戏难度:{s:difficulty}"
"lang_round_start"       "准备阶段"
"lang_round_battle"       "战斗阶段"
"lang_round_prize"       "奖励阶段"
"lang_round_waiting_next"       "等待阶段"
"lang_round_end"       "回合结束"
"lang_MenuButton_setting"       "设置"
"lang_MenuButton_mail"       "邮件"
"lang_MenuButton_store"       "商店"
"lang_MenuButton_battlepass"       "战令"
"lang_MenuButton_draw"       "抽奖"
"lang_MenuButton_handbook"       "图鉴"
"lang_MenuButton_rank"       "排行榜"
"lang_MenuButton_activity"       "活动"
"lang_MenuButton_record"       "档案"
"lang_MenuButton_storage"       "仓库"
"lang_LevelChallenge"       "关卡挑战"
"lang_tech"       "科技"
"lang_bagshop"       "背包商店"
"lang_HUD_Shop_Home"       "首页"
"lang_HUD_Shop_Props"       "道具"
"lang_HUD_Shop_Resource"       "资源"
"lang_HUD_Shop_Star"       "星光商店"
"lang_HUD_Shop_Chest"       "宝瓶"
"lang_HUD_Shop_HotSale"       "热卖"
"lang_HUD_Shop_DailyLimitedSale"       "每日限购"
"lang_HUD_Shop_LimitedSale"       "限时购买"
"lang_LimitedSaleTime"       "限时"
"lang_Free"       "免费"
"lang_Shop_Buy_With_Money"       "￥{s:price}"
"lang_Error_Star_Not_Enough"       "星辉不足"
"lang_DialogBox_Buy_Success"       "购买成功"
"lang_DialogBox_Buy_Fail"       "购买失败"
"lang_DialogBox_Get_Success"       "领取成功"
"lang_DialogBox_Get_Fail"       "领取失败"
"lang_Payment_PleaseWait"       "请稍候，将在外部浏览器打开支付网页..."
"lang_Payment_WebPageOpened"       "已在外部浏览器打开支付网页"
"lang_Payment_Create_Fail"       "创建订单失败"
"lang_Shop_Goods_1"       "测试大礼包"
"lang_Shop_Goods_line_first"       "购买将会获得"
"lang_Shop_Goods_line"       "※ [item_name] × [item_num]"
"lang_Shop_Goods_limit_0"       "永久限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_1"       "每日限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_2"       "每周限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_3"       "每月限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_4"       "每年限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_5"       "每小时限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_6"       "赛季限购{d:current}/{d:total}"
"lang_CDK"       "使用兑换码"
"lang_CDKResult"       "兑换物品"
"lang_ExchangeProductResult"       "符石碎片购买"
"lang_combination_rule"       "需要己方场上有此流派技能N个不同的棋子触发，效果叠加。"
"lang_DialogBox_Yes"       "确定"
"lang_DialogBox_No"       "取消"
"lang_DialogBox_Rcv"       "领取"
"lang_DialogBox_Not_Again"       "下次不再提醒"
"lang_ClickBlankClose"       "点击任意空白处或按下ESC关闭"
"lang_DialogBox_Buy"       "购买"
"lang_DialogBox_GotoOpen"       "去打开"
"lang_DialogBox_PleaseWait"       "请稍候..."
"lang_TimerTitle"       "倒计时"
"lang_Select_Difficulties"       "点击选择难度"
"lang_Help_new_player"       "带我通关难度{d:help_dif}，拿SR符石奖励哦"
"lang_CourierSelectionTitle"       "信使选择"
"lang_PlayerNotReady"       "准备中"
"lang_Feedback_Title"       "反馈"
"lang_Feedback_Good"       "好"
"lang_Feedback_Bad"       "坏"
"lang_Feedback_Placeholder"       "每一条反馈我们都会认真阅读，欢迎分享您对我们游戏的任何看法"
