"DOTA_Tooltip_ability_courier_draw_card_v1"       "初级抽卡"
"DOTA_Tooltip_ability_courier_draw_card_v2"       "中级抽卡"
"DOTA_Tooltip_ability_courier_draw_card_v3"       "高级抽卡"
"DOTA_Tooltip_ability_courier_auto_gold"       "获得金币"
"DOTA_Tooltip_ability_courier_fire_chess"       "集火"
"DOTA_Tooltip_ability_courier_recovery_chess"       "售卖棋子"
"DOTA_Tooltip_ability_courier_upgrade_chess"       "棋子升阶"
"DOTA_Tooltip_ability_courier_challenge_gold"       "金币挑战"
"DOTA_Tooltip_ability_courier_challenge_wood"       "木材挑战"
"DOTA_Tooltip_ability_courier_challenge_equip"       "装备挑战"
"DOTA_Tooltip_ability_courier_challenge_artifact"       "神器挑战"
"DOTA_Tooltip_ability_courier_extra_gold_sec_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_kill_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_gold_sec_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_card_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_star_up_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_population_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_tower_unique_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_weapon_master_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_random_item_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_card_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_more_card_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_wood_sec_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_more_card_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_star_up_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_population_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_weapon_master_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_random_item_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_tower_unique_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_gold_sec_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_wood_sec_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_artifact_select"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_star_up_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_population_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_tower_unique_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_weapon_master_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_random_item_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_card_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_more_card_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_wood_sec_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_chest_killer_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_shop_discount_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_shop_discount_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_shop_discount_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_artifact_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_artifact_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_artifact_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_upgrade_item_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_upgrade_item_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_upgrade_item_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_max_gold_3"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_all_stat_2"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_all_stat_1"       "信使额外技能"
"DOTA_Tooltip_ability_courier_extra_all_stat_3"       "信使额外技能"
