"DOTA_Tooltip_ability_imba_abaddon_death_coil"       "迷雾缠绕"
"DOTA_Tooltip_ability_imba_abaddon_death_coil_Description"       "111"
"DOTA_Tooltip_ability_imba_abaddon_aphotic_shield"       "无光之盾"
"DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_Description"       "111"
"DOTA_Tooltip_ability_imba_abaddon_frostmourne"       "魔霭诅咒"
"DOTA_Tooltip_ability_imba_abaddon_frostmourne_Description"       "111"
"DOTA_Tooltip_ability_imba_abaddon_over_channel_Description"       "111"
"DOTA_Tooltip_ability_imba_abaddon_borrowed_time"       "回光返照"
"DOTA_Tooltip_ability_imba_abaddon_borrowed_time_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_abaddon_8_Description"       "111"
"DOTA_Tooltip_ability_imba_abyssal_underlord_firestorm"       "火焰风暴"
"DOTA_Tooltip_ability_imba_abyssal_underlord_firestorm_Description"       "111"
"DOTA_Tooltip_ability_imba_abyssal_underlord_pit_of_malice"       "怨念深渊"
"DOTA_Tooltip_ability_imba_abyssal_underlord_pit_of_malice_Description"       "111"
"DOTA_Tooltip_ability_imba_abyssal_underlord_atrophy_aura"       "衰退光环"
"DOTA_Tooltip_ability_imba_abyssal_underlord_atrophy_aura_Description"       "111"
"DOTA_Tooltip_ability_imba_abyssal_underlord_dark_rift"       "恶魔之扉"
"DOTA_Tooltip_ability_imba_abyssal_underlord_dark_rift_Description"       "111"
"DOTA_Tooltip_ability_imba_abyssal_underlord_cancel_dark_rift"       "未定义"
"DOTA_Tooltip_ability_imba_abyssal_underlord_cancel_dark_rift_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_acid_spray"       "酸性喷雾"
"DOTA_Tooltip_ability_imba_alchemist_acid_spray_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_unstable_concoction"       "不稳定化合物"
"DOTA_Tooltip_ability_imba_alchemist_unstable_concoction_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_goblins_greed"       "贪魔的贪婪"
"DOTA_Tooltip_ability_imba_alchemist_goblins_greed_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_greevils_greed_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage"       "化学狂暴"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_Description"       "111"
"DOTA_Tooltip_ability_imba_alchemist_mammonite_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_8_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet"       "寒霜之足"
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_vortex"       "冰霜漩涡"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_vortex_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_chilling_touch"       "极寒之触"
"DOTA_Tooltip_ability_imba_ancient_apparition_chilling_touch_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast"       "冰晶爆轰"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_release"       "冰晶爆轰释放"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_release_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion_Description"       "111"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_vortex_cooldown_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_chilling_touch_damage_Description"       "111"
