"building_hero_ember_spirit"       "灰烬之灵"
"building_hero_lina"       "莉娜"
"building_hero_axe"       "斧王"
"building_hero_tinker"       "修补匠"
"building_hero_sniper"       "狙击手"
"building_hero_storm_spirit"       "风暴之灵"
"building_hero_death_prophet"       "死亡先知"
"building_hero_luna"       "露娜"
"building_hero_juggernaut"       "主宰"
"building_hero_lycan"       "狼人"
"building_hero_venomancer"       "剧毒术士"
"building_hero_disruptor"       "干扰者"
"building_hero_chaos_knight"       "混沌骑士"
"building_hero_winter_wyvern"       "冰霜巨龙"
"building_hero_lone_druid"       "德鲁伊"
"building_hero_alchemist"       "炼金"
"building_hero_templar_assassin"       "圣堂刺客"
"building_hero_furion"       "先知"
"building_hero_shredder"       "伐木机"
"building_hero_mirana"       "米拉娜"
"building_hero_void_spirit"       "虚无之灵"
"building_hero_bounty_hunter"       "赏金猎人"
"building_hero_dragon_knight"       "龙骑士"
"building_hero_slardar"       "斯拉达"
"building_hero_slark"       "斯拉克"
"building_hero_ursa"       "熊战士"
"building_hero_crystal_maiden"       "水晶室女"
"building_hero_ogre_magi"       "食人魔魔法师"
"building_hero_sven"       "斯文"
"building_hero_medusa"       "美杜莎"
"building_hero_leshrac"       "拉希克"
"building_hero_centaur"       "半人马战行者"
"building_hero_zuus"       "宙斯"
"building_hero_huskar"       "神灵武士"
"building_hero_viper"       "冥界亚龙"
"building_hero_earth_spirit"       "大地之灵"
"building_hero_omniknight"       "全能骑士"
"building_hero_gyrocopter"       "矮人直升机"
"building_hero_phantom_assassin"       "幻影刺客"
"building_hero_pugna"       "帕格纳"
"building_hero_spirit_bear"       "熊灵"
"building_hero_pangolier"       "石鳞剑士"
"building_hero_t01"       "夜魇近战兵"
"building_hero_t02"       "夜魇远程兵"
"building_hero_t03"       "狂暴枭兽"
"building_hero_t04"       "死灵幽魂"
"building_hero_t05"       "天辉近战兵"
"building_hero_t06"       "天辉远程兵"
"building_hero_t07"       "萨特·地狱使者"
"building_hero_t08"       "风暴巫师"
"building_hero_t10"       "半人马酋长"
"building_hero_t11"       "黑暗巨魔萨满"
"building_hero_t12"       "食人魔棒槌手"
"building_hero_t15"       "狗头人奴隶主"
"building_hero_t16"       "雷肤兽"
"building_hero_t17"       "森林巨魔巫师"
"building_hero_t19"       "狂暴熊怪"
"building_hero_t21"       "虚灵守卫"
"building_hero_t22"       "魔火精灵"
"building_hero_t23"       "恐怖之狼"
"building_hero_t25"       "恶魔之魂"
"building_hero_t27"       "风元素使"
"building_hero_t28"       "土元素使"
"building_hero_t29"       "火元素使"
"building_hero_t34"       "花岗石傀儡"
"building_hero_t35"       "地狱火"
"building_hero_t36"       "远古黑龙"
"building_hero_t37"       "虚无元素使"
"building_hero_t41"       "巨魔勇士"
"building_unit_mango_tree"       "芒果树"
