"addon_game_name"       "棋盘奇兵"
"lang_Ability_JinDu"       "进度：<font color='#EEEEEE'>{d:now}</font>/<font color='#EEEEEE'>{d:max}</font>"
"lang_population"       "人口"
"lang_gold"       "金币"
"lang_wood"       "木材"
"lang_turn"       "回合"
"lang_soulcrystal"       "魂晶"
"lang_InscriptionExp"       "铭文碎片"
"lang_TopBarRound"       "第{s:round}回合"
"lang_TopBarDifficulty"       "游戏难度:{s:difficulty}"
"lang_round_start"       "准备阶段"
"lang_round_battle"       "战斗阶段"
"lang_round_prize"       "奖励阶段"
"lang_round_waiting_next"       "等待阶段"
"lang_round_end"       "回合结束"
"lang_MenuButton_setting"       "设置"
"lang_MenuButton_mail"       "邮件"
"lang_MenuButton_store"       "商店"
"lang_MenuButton_battlepass"       "战令"
"lang_MenuButton_draw"       "抽奖"
"lang_MenuButton_handbook"       "图鉴"
"lang_MenuButton_rank"       "排行榜"
"lang_MenuButton_activity"       "活动"
"lang_MenuButton_record"       "档案"
"lang_MenuButton_storage"       "仓库"
"lang_LevelChallenge"       "关卡挑战"
"lang_tech"       "科技"
"lang_bagshop"       "背包商店"
"lang_draw"       "抽卡"
"lang_HandBook_ShaiXuan"       "筛选："
"lang_HandBook_SumHeroLevel"       "英雄总等级："
"lang_HandBook_ComHeroExp"       "通用英雄经验："
"lang_hero"       "英雄"
"lang_wearable"       "皮肤"
"lang_courier"       "信使"
"lang_equip"       "装备"
"lang_artifact"       "神器"
"lang_faq"       "常见问题"
"lang_HandBook_EquipRarityTitle"       "{s:rarity}级装备"
"lang_FAQ_Question_1"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_1"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_2"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_2"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_3"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_3"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_4"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_4"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_5"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_5"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_6"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_6"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_7"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_7"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
