"DOTA_Tooltip_modifier_sect_seckill_base_a"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_a_description"       "触发概率反击螺旋%prop_pect%%，对范围内敌方单位造成自己最大生命值%damage_hp_pect%%的物理伤害。"
"DOTA_Tooltip_modifier_sect_seckill_base_b"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_b_description"       "触发概率反击螺旋%prop_pect%%，对范围内敌方单位造成自己最大生命值%damage_hp_pect%%的物理伤害。"
"DOTA_Tooltip_modifier_sect_seckill_base_c"       "秒杀"
"DOTA_Tooltip_modifier_sect_seckill_base_c_description"       "反击螺旋附带吸血效果，触发时回复反击螺旋造成伤害值%damage_suck_pect%%的气血。"
"DOTA_Tooltip_modifier_sect_thorns_base_a"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_a_description"       "受到伤害后，会反弹%thorns_pect%%的伤害，并额外造成基于英雄力量%hpmax_pect%%的物理伤害。"
"DOTA_Tooltip_modifier_sect_thorns_base_b"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_b_description"       "受到伤害后，会反弹%thorns_pect%%的伤害，并额外造成基于英雄力量%hpmax_pect%%的物理伤害。"
"DOTA_Tooltip_modifier_sect_thorns_base_c"       "刺甲"
"DOTA_Tooltip_modifier_sect_thorns_base_c_description"       "英雄额外力量%strength_get%点。"
"DOTA_Tooltip_modifier_sect_treatment_base_a"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_a_description"       "周围附近英雄的生命回复%health_regen%。立即恢复一个友方单位%heal_amount%点气血，并对周围敌方单位造成%damage_amount%点魔法伤害。"
"DOTA_Tooltip_modifier_sect_treatment_base_b"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_b_description"       "周围附近英雄的生命回复%health_regen%。立即恢复一个友方单位%heal_amount%点气血，并对周围敌方单位造成%damage_amount%点魔法伤害。"
"DOTA_Tooltip_modifier_sect_treatment_base_c"       "治疗"
"DOTA_Tooltip_modifier_sect_treatment_base_c_description"       "周围附近英雄的生命回复%health_regen%。每秒对附近2格内的敌方单位按照其最大生命值%health_pect_damage%%造成纯粹伤害，对召唤塔无效。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_a"       "减抗"
"DOTA_Tooltip_modifier_sect_magarm_down_base_a_description"       "毒性云雾持续伤害基数%damage%,范围内敌方单位受到魔法伤害%incoming_magic_pect%%。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_b"       "减抗"
"DOTA_Tooltip_modifier_sect_magarm_down_base_b_description"       "毒性云雾持续伤害基数%damage%,范围内敌方单位受到魔法伤害%incoming_magic_pect%%。"
"DOTA_Tooltip_modifier_sect_magarm_down_base_c"       "减抗"
"DOTA_Tooltip_modifier_sect_magarm_down_base_c_description"       "毒性云雾持续伤害基数%damage%,范围内敌方单位受到魔法伤害%incoming_magic_pect%%，同时伤害输出%outgonging_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_cleave_base_a"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_a_description"       "英雄普通攻击可同时额外攻击%cleave_count%个单位，分裂攻击造成%cleave_damage_pct%%的伤害。"
"DOTA_Tooltip_modifier_sect_cleave_base_b"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_b_description"       "英雄普通攻击可同时额外攻击%cleave_count%个单位，分裂攻击造成%cleave_damage_pct%%的伤害。"
"DOTA_Tooltip_modifier_sect_cleave_base_c"       "分裂"
"DOTA_Tooltip_modifier_sect_cleave_base_c_description"       "英雄的攻击距离增加%atk_range%格。攻击命中敌方单位后，%knock_out_pct%%概率击退1格。"
"DOTA_Tooltip_modifier_sect_poision_base_a"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_a_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。"
"DOTA_Tooltip_modifier_sect_poision_base_b"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_b_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。"
"DOTA_Tooltip_modifier_sect_poision_base_c"       "中毒"
"DOTA_Tooltip_modifier_sect_poision_base_c_description"       "敌方中毒单位的攻击速度%atkspeed%，死亡毒素爆炸产生范围的魔法伤害%damage%。毒素爆炸会再次给范围内的其他单位注射毒液，引发连锁反应。"
"DOTA_Tooltip_modifier_sect_phycrit_base_a"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_a_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。"
"DOTA_Tooltip_modifier_sect_phycrit_base_b"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_b_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。"
"DOTA_Tooltip_modifier_sect_phycrit_base_c"       "暴击"
"DOTA_Tooltip_modifier_sect_phycrit_base_c_description"       "英雄物理暴击概率%crit_chance%%，物理暴击伤害%crit_damage%%。每次暴击后，攻击速度%atk_speed_add%，持续%duration%秒，最大叠加%count%层。"
"DOTA_Tooltip_modifier_sect_shield_base_a"       "护盾"
"DOTA_Tooltip_modifier_sect_shield_base_a_description"       "施加的护盾吸收%block_value%点伤害后破碎，破碎后对周围敌方单位造成护盾吸收伤害值的物理伤害。"
"DOTA_Tooltip_modifier_sect_shield_base_b"       "护盾"
"DOTA_Tooltip_modifier_sect_shield_base_b_description"       "施加的护盾吸收%block_value%点伤害后破碎，破碎后对周围敌方单位造成护盾吸收伤害值的物理伤害。"
"DOTA_Tooltip_modifier_sect_shield_base_c"       "护盾"
"DOTA_Tooltip_modifier_sect_shield_base_c_description"       "施加的护盾吸收%block_value%点伤害后破碎。释放时，额外给1名队友施加护盾。"
"DOTA_Tooltip_modifier_sect_copy_base_a"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_a_description"       "英雄攻击有%copy_pect%%概率召唤新的镜像，幻象持续时间%duration%，实时的分裂幻象的数量上限%count%。"
"DOTA_Tooltip_modifier_sect_copy_base_b"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_b_description"       "英雄攻击有%copy_pect%%概率召唤新的镜像，幻象持续时间%duration%，实时的分裂幻象的数量上限%count%。"
"DOTA_Tooltip_modifier_sect_copy_base_c"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_c_description"       "英雄召唤的镜像普通攻击也可以概率召唤新的镜像，实时的分裂幻象的数量上限%count%。"
"DOTA_Tooltip_modifier_sect_summon_base_a"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_a_description"       "召唤初级单位，持续%duration%秒。召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_summon_base_b"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_b_description"       "召唤中级单位，持续%duration%秒。召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_summon_base_c"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_c_description"       "召唤高级单位，持续%duration%秒。召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_warpath_base_a"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_a_description"       "周围英雄的攻击力提升%atk_bonus_pect%%。"
"DOTA_Tooltip_modifier_sect_warpath_base_b"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_b_description"       "周围英雄的攻击力提升%atk_bonus_pect%%。"
"DOTA_Tooltip_modifier_sect_warpath_base_c"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_c_description"       "提升英雄自己%atk_bonus_pect%%的攻击力。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_a"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_a_description"       "范围内的敌方英雄的物理护甲%phyarm_down%。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_b"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_b_description"       "范围内的敌方英雄的物理护甲%phyarm_down%。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_c"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_c_description"       "范围内的敌方英雄的物理护甲%phyarm_down%，友方棋子死后以灵魂形态参与战斗持续%duration%秒。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_a"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_a_description"       "范围内英雄攻击速度%atk_speed%，范围内英雄攻击无视敌方闪避%ignore_evasion%%。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_b"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_b_description"       "范围内英雄攻击速度%atk_speed%，范围内英雄攻击无视敌方闪避%ignore_evasion%%。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_c"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_c_description"       "提升英雄自己%atk_speed%攻击速度。"
"DOTA_Tooltip_modifier_sect_betrayal_base_a"       "魅惑"
"DOTA_Tooltip_modifier_sect_betrayal_base_a_description"       "普通攻击魅惑敌方单位概率%prop_pect%%，魅惑单位存活时间%duration%秒。"
"DOTA_Tooltip_modifier_sect_betrayal_base_b"       "魅惑"
"DOTA_Tooltip_modifier_sect_betrayal_base_b_description"       "普通攻击魅惑敌方单位概率%prop_pect%%，魅惑单位存活时间%duration%秒。"
"DOTA_Tooltip_modifier_sect_betrayal_base_c"       "魅惑"
"DOTA_Tooltip_modifier_sect_betrayal_base_c_description"       "普通攻击魅惑敌方单位概率%prop_pect%%，魅惑单位存活时间%duration%秒。"
"DOTA_Tooltip_modifier_sect_steal_base_a"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_a_description"       "每次攻击窃取%all_stat_per%全属性，杀死敌方单位永久窃取%all_stat_death%全属性，并获得%coin_prize%个金币奖励。"
"DOTA_Tooltip_modifier_sect_steal_base_b"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_b_description"       "每次攻击窃取%all_stat_per%全属性，杀死敌方单位永久窃取%all_stat_death%全属性，并获得%coin_prize%个木材奖励。"
"DOTA_Tooltip_modifier_sect_steal_base_c"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_c_description"       "每次攻击窃取%all_stat_per%全属性，杀死敌方单位永久窃取%all_stat_death%全属性，并获得%coin_prize%个魂晶奖励。"
"DOTA_Tooltip_modifier_sect_cd_down_base_a"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_a_description"       "减少周围内英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_cd_down_base_b"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_b_description"       "减少周围内英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_cd_down_base_c"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_c_description"       "减少周围内英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_magic_base_a"       "法师"
"DOTA_Tooltip_modifier_sect_magic_base_a_description"       "英雄额外魔法伤害%spell_damage_pect%%。技能开启后，每秒造成魔法伤害%damage%，同时影响的敌方单位数量%count%。对召唤塔造成的伤害%extra_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_magic_base_b"       "法师"
