"lang_sect_seckill"       "秒杀流"
"lang_sect_seckill_Des"       "受到攻击后，概率触发反击螺旋，造成生命上限百分比伤害的物理伤害。"
"lang_sect_thorns"       "反伤流"
"lang_sect_thorns_Des"       "向攻击他的单位发出反击。反弹固定伤害加上自身力量的一定百分比。"
"lang_sect_treatment"       "治疗流"
"lang_sect_treatment_Des"       "立即治疗一个友方单位，并对周围的敌军造成伤害。"
"lang_sect_magarm_down"       "减抗流"
"lang_sect_magarm_down_Des"       "降低周围敌方单位的魔法护甲。"
"lang_sect_cleave"       "分裂流"
"lang_sect_cleave_Des"       "攻击弹道将分裂成若干支箭矢，同时攻击多个敌方单位。分裂箭造成的伤害为正常攻击力的一定百分比。"
"lang_sect_poision"       "中毒流"
"lang_sect_poision_Des"       "攻击对敌方单位注入毒液，使其移动变得迟缓，死亡时发生剧烈爆炸。"
"lang_sect_phycrit"       "物暴流"
"lang_sect_phycrit_Des"       "战斗技巧得到精进，提升物理暴击概率，有一定概率对敌方单位造成毁灭性的致命一击。"
"lang_sect_shield"       "护盾流"
"lang_sect_shield_Des"       "创造一个护盾环绕友方单位，护盾在消失前能吸收一定量的伤害。护盾被摧毁后，它会将之前吸收的伤害反馈给周围的敌方单位。施放时移除目标身上的负面魔法效果。"
"lang_sect_copy"       "复制流"
"lang_sect_copy_Des"       "攻击有一定几率使自己的存在破碎，产生自身的幻象。幻象也有几率进一步破碎，再产生幻象。"
"lang_sect_summon"       "召唤流"
"lang_sect_summon_Des"       "攻击会感染敌人。如果目标在感染期内死亡，一只随机的寄生单位会从尸体中产出。"
"lang_sect_warpath"       "战意流"
"lang_sect_warpath_Des"       "提升了附近友方英雄的攻击力。"
"lang_sect_phyarm_down"       "减甲流"
"lang_sect_phyarm_down_Des"       "降低周围敌方单位的物理护甲。"
"lang_sect_atkspeed"       "攻速流"
"lang_sect_atkspeed_Des"       "提升了周围友军的攻击速度和必中率。"
"lang_sect_betrayal"       "策反流"
"lang_sect_betrayal_Des"       "普通攻击概率诱惑敌人，会将其控制，对Boss和召唤塔无效。"
"lang_sect_steal"       "窃取流"
"lang_sect_steal_Des"       "每次攻击会偷走敌方英雄的全属性转化成自身额外的全属性。只要敌方单位带着该效果在周围内阵亡，将永久窃取全属性。"
"lang_sect_cd_down"       "冷却流"
"lang_sect_cd_down_Des"       "降低友方单位的技能冷却时间。"
"lang_sect_magic"       "法师流"
"lang_sect_magic_Des"       "周围的区域充满魔法性爆炸，对敌方单位造成魔法伤害。范围内的敌人越少，他们受到的伤害就越大。"
"lang_sect_flame"       "火焰流"
"lang_sect_flame_Des"       "普通攻击附带火焰燃烧效果，点燃对敌方单位并在地面上留下一道燃烧的尾迹，对附近单位造成持续伤害。"
"lang_sect_splash"       "溅射流"
"lang_sect_splash_Des"       "普通攻击将对所有附近的敌方单位造成溅射分裂的攻击伤害。"
"lang_sect_invent"       "发明流"
"lang_sect_invent_Des"       "召唤科技发明支援友方单位。"
"lang_sect_headshot"       "爆头流"
"lang_sect_headshot_Des"       "弹道概率触发爆炸效果，造成范围物理伤害。"
"lang_sect_shock"       "雷电流"
"lang_sect_shock_Des"       "弹道概率触发一道会跳跃穿越附近敌人的闪电。"
"lang_sect_magcrit"       "法暴流"
"lang_sect_magcrit_Des"       "提升附近友方单位的魔法暴击概率。"
"lang_sect_black_art"       "妖术流"
"lang_sect_black_art_Des"       "通晓神秘魔法，降低流派激活所需数量。"
"lang_sect_fish_chess"       "钓鱼流"
"lang_sect_fish_chess_Des"       "战斗结束时概率触发，将棋库中的棋子钓到等候区。"
"lang_sect_guard"       "守卫流"
"lang_sect_guard_Des"       "召唤随机守卫到场上协助战斗。"
"lang_sect_transform"       "大招流"
"lang_sect_transform_Des"       "战斗开始时获得魔法值的充能。"
"lang_sect_demon"       "恶魔流"
"lang_sect_demon_Des"       "攻击附带额外百分比的真实伤害。"
"lang_sect_cannibalism"       "食人流"
"lang_sect_cannibalism_Des"       "吃掉周围若干个敌方单位，并获得他的生命和攻击力。对Boss和召唤塔无效。"
