"DOTA_Tooltip_ability_1"       "金币"
"DOTA_Tooltip_ability_2"       "木材"
"DOTA_Tooltip_ability_3"       "魂晶"
"DOTA_Tooltip_ability_4"       "人口"
"DOTA_Tooltip_ability_101"       "原石"
"DOTA_Tooltip_ability_102"       "星石"
"DOTA_Tooltip_ability_104"       "通用英雄经验"
"DOTA_Tooltip_ability_105"       "铭文碎片"
"DOTA_Tooltip_ability_106"       "天梯积分"
"DOTA_Tooltip_ability_10001"       "测试宝箱"
"DOTA_Tooltip_ability_10002"       "宝箱"
"DOTA_Tooltip_ability_10003"       "宝箱"
"DOTA_Tooltip_ability_10004"       "史莱姆装备1"
"DOTA_Tooltip_ability_10006"       "英雄经验"
"DOTA_Tooltip_ability_10009"       "祝福1"
"DOTA_Tooltip_ability_10010"       "称号1"
"DOTA_Tooltip_ability_10011"       "测试宝箱2"
"DOTA_Tooltip_ability_10012"       "测试宝箱3"
"DOTA_Tooltip_ability_10013"       "熟练度宝瓶"
"DOTA_Tooltip_ability_10014"       "铭文宝瓶"
"DOTA_Tooltip_ability_10015"       "信使宝瓶"
"DOTA_Tooltip_ability_10016"       "皮肤宝瓶"
"DOTA_Tooltip_ability_10017"       "人口神符"
"DOTA_Tooltip_ability_10018"       "资源神符"
"DOTA_Tooltip_ability_10019"       "嗜血神符"
"DOTA_Tooltip_ability_10020"       "狂暴神符"
"DOTA_Tooltip_ability_10021"       "恐吓神符"
"DOTA_Tooltip_ability_10022"       "召唤神符"
"DOTA_Tooltip_ability_11001"       "亚巴顿经验"
"DOTA_Tooltip_ability_11002"       "孽主经验"
"DOTA_Tooltip_ability_11003"       "炼金经验"
"DOTA_Tooltip_ability_11004"       "远古冰魄经验"
"DOTA_Tooltip_ability_11005"       "敌法师经验"
"DOTA_Tooltip_ability_11006"       "天穹守望者经验"
"DOTA_Tooltip_ability_11007"       "斧王经验"
"DOTA_Tooltip_ability_11008"       "祸乱之源经验"
"DOTA_Tooltip_ability_11009"       "蝙蝠骑士经验"
"DOTA_Tooltip_ability_11010"       "兽王经验"
"DOTA_Tooltip_ability_11011"       "血魔经验"
"DOTA_Tooltip_ability_11012"       "赏金猎人经验"
"DOTA_Tooltip_ability_11013"       "熊猫酒仙经验"
"DOTA_Tooltip_ability_11014"       "刚被兽经验"
"DOTA_Tooltip_ability_11015"       "蜘蛛经验"
"DOTA_Tooltip_ability_11016"       "半人马战行者经验"
"DOTA_Tooltip_ability_11017"       "混沌骑士经验"
"DOTA_Tooltip_ability_11018"       "陈经验"
"DOTA_Tooltip_ability_11019"       "克林克兹经验"
"DOTA_Tooltip_ability_11020"       "水晶室女经验"
"DOTA_Tooltip_ability_11021"       "黑暗贤者经验"
"DOTA_Tooltip_ability_11022"       "邪影芳灵经验"
"DOTA_Tooltip_ability_11023"       "破晓辰星经验"
"DOTA_Tooltip_ability_11024"       "戴泽经验"
"DOTA_Tooltip_ability_11025"       "死亡先知经验"
"DOTA_Tooltip_ability_11026"       "干扰者经验"
"DOTA_Tooltip_ability_11027"       "末日经验"
"DOTA_Tooltip_ability_11028"       "龙骑士经验"
"DOTA_Tooltip_ability_11029"       "卓尔游侠经验"
"DOTA_Tooltip_ability_11030"       "大地之灵经验"
"DOTA_Tooltip_ability_11031"       "撼地者经验"
"DOTA_Tooltip_ability_11032"       "上古巨神经验"
"DOTA_Tooltip_ability_11033"       "灰烬之灵经验"
"DOTA_Tooltip_ability_11034"       "魅惑魔女经验"
"DOTA_Tooltip_ability_11035"       "谜团经验"
"DOTA_Tooltip_ability_11036"       "JB脸经验"
"DOTA_Tooltip_ability_11037"       "先知经验"
"DOTA_Tooltip_ability_11038"       "天涯墨客经验"
